nohup: ignoring input
experiment: HUVEC pseknc-new_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 5, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=3192, TP=58, TN=2996, FP=44, FN=94; precision=0.569, recall=0.382
accuracy: (test=0.964) average_precision: (test=0.570) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.888) 1.57min
[fit 29/150] END max_depth=28; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.890) 1.59min
[fit 30/150] END max_depth=29; total=3192, TP=70, TN=3011, FP=29, FN=82; precision=0.707, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.564) balanced_accuracy: (test=0.725) f1: (test=0.558) roc_auc: (test=0.892) 1.58min
[fit 31/150] END max_depth=30; total=3192, TP=66, TN=3008, FP=32, FN=86; precision=0.673, recall=0.434
accuracy: (test=0.963) average_precision: (test=0.568) balanced_accuracy: (test=0.712) f1: (test=0.528) roc_auc: (test=0.890) 1.59min
[fit 32/150] END max_depth=31; total=3192, TP=68, TN=3007, FP=33, FN=84; precision=0.673, recall=0.447
accuracy: (test=0.963) average_precision: (test=0.569) balanced_accuracy: (test=0.718) f1: (test=0.538) roc_auc: (test=0.892) 1.58min
[fit 33/150] END max_depth=32; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.572) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.889) 1.60min
[fit 34/150] END max_depth=33; total=3192, TP=67, TN=3009, FP=31, FN=85; precision=0.684, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.575) balanced_accuracy: (test=0.715) f1: (test=0.536) roc_auc: (test=0.898) 1.62min
[fit 35/150] END max_depth=34; total=3192, TP=68, TN=3013, FP=27, FN=84; precision=0.716, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.719) f1: (test=0.551) roc_auc: (test=0.887) 1.61min
[fit 36/150] END max_depth=35; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.891) 1.61min
[fit 37/150] END max_depth=36; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.891) 1.61min
[fit 38/150] END max_depth=37; total=3192, TP=66, TN=3013, FP=27, FN=86; precision=0.710, recall=0.434
accuracy: (test=0.965) average_precision: (test=0.578) balanced_accuracy: (test=0.713) f1: (test=0.539) roc_auc: (test=0.891) 1.61min
[fit 39/150] END max_depth=38; total=3192, TP=67, TN=3010, FP=30, FN=85; precision=0.691, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.715) f1: (test=0.538) roc_auc: (test=0.893) 1.60min
[fit 40/150] END max_depth=39; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.893) 1.62min
[fit 41/150] END max_depth=40; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.562) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.881) 1.61min
[fit 42/150] END max_depth=41; total=3192, TP=69, TN=3009, FP=31, FN=83; precision=0.690, recall=0.454
accuracy: (test=0.964) average_precision: (test=0.575) balanced_accuracy: (test=0.722) f1: (test=0.548) roc_auc: (test=0.896) 1.63min
[fit 43/150] END max_depth=42; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.581) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.904) 1.64min
[fit 44/150] END max_depth=43; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.580) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.891) 1.62min
[fit 45/150] END max_depth=44; total=3192, TP=65, TN=3011, FP=29, FN=87; precision=0.691, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.571) balanced_accuracy: (test=0.709) f1: (test=0.528) roc_auc: (test=0.893) 1.63min
[fit 46/150] END max_depth=45; total=3192, TP=65, TN=3010, FP=30, FN=87; precision=0.684, recall=0.428
accuracy: (test=0.963) average_precision: (test=0.565) balanced_accuracy: (test=0.709) f1: (test=0.526) roc_auc: (test=0.885) 1.63min
[fit 47/150] END max_depth=46; total=3192, TP=67, TN=3011, FP=29, FN=85; precision=0.698, recall=0.441
accuracy: (test=0.964) average_precision: (test=0.564) balanced_accuracy: (test=0.716) f1: (test=0.540) roc_auc: (test=0.887) 1.63min
[fit 48/150] END max_depth=47; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.580) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.891) 1.62min
[fit 49/150] END max_depth=48; total=3192, TP=64, TN=3010, FP=30, FN=88; precision=0.681, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.565) balanced_accuracy: (test=0.706) f1: (test=0.520) roc_auc: (test=0.888) 1.63min
[fit 50/150] END max_depth=49; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.571) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.892) 1.62min
[fit 51/150] END max_depth=50; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.584) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.898) 1.63min
[fit 52/150] END max_depth=51; total=3192, TP=64, TN=3012, FP=28, FN=88; precision=0.696, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.706) f1: (test=0.525) roc_auc: (test=0.888) 1.62min
[fit 53/150] END max_depth=52; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.894) 1.63min
[fit 54/150] END max_depth=53; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.569) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.881) 1.61min
[fit 55/150] END max_depth=54; total=3192, TP=66, TN=3010, FP=30, FN=86; precision=0.688, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.712) f1: (test=0.532) roc_auc: (test=0.892) 1.63min
[fit 56/150] END max_depth=55; total=3192, TP=65, TN=3010, FP=30, FN=87; precision=0.684, recall=0.428
accuracy: (test=0.963) average_precision: (test=0.571) balanced_accuracy: (test=0.709) f1: (test=0.526) roc_auc: (test=0.892) 1.63min
[fit 57/150] END max_depth=56; total=3192, TP=65, TN=3009, FP=31, FN=87; precision=0.677, recall=0.428
accuracy: (test=0.963) average_precision: (test=0.573) balanced_accuracy: (test=0.709) f1: (test=0.524) roc_auc: (test=0.897) 1.63min
[fit 58/150] END max_depth=57; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.889) 1.54min
[fit 59/150] END max_depth=58; total=3192, TP=67, TN=3008, FP=32, FN=85; precision=0.677, recall=0.441
accuracy: (test=0.963) average_precision: (test=0.578) balanced_accuracy: (test=0.715) f1: (test=0.534) roc_auc: (test=0.899) 1.45min
[fit 60/150] END max_depth=59; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.888) 1.45min
[fit 61/150] END max_depth=60; total=3192, TP=65, TN=3013, FP=27, FN=87; precision=0.707, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.574) balanced_accuracy: (test=0.709) f1: (test=0.533) roc_auc: (test=0.889) 1.46min
[fit 62/150] END max_depth=61; total=3192, TP=66, TN=3011, FP=29, FN=86; precision=0.695, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.565) balanced_accuracy: (test=0.712) f1: (test=0.534) roc_auc: (test=0.885) 1.45min
[fit 63/150] END max_depth=62; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.572) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.894) 1.48min
[fit 64/150] END max_depth=63; total=3192, TP=68, TN=3011, FP=29, FN=84; precision=0.701, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.579) balanced_accuracy: (test=0.719) f1: (test=0.546) roc_auc: (test=0.902) 1.47min
[fit 65/150] END max_depth=64; total=3192, TP=65, TN=3012, FP=28, FN=87; precision=0.699, recall=0.428
accuracy: (test=0.964) average_precision: (test=0.560) balanced_accuracy: (test=0.709) f1: (test=0.531) roc_auc: (test=0.886) 1.48min
[fit 66/150] END max_depth=65; total=3192, TP=64, TN=3010, FP=30, FN=88; precision=0.681, recall=0.421
accuracy: (test=0.963) average_precision: (test=0.565) balanced_accuracy: (test=0.706) f1: (test=0.520) roc_auc: (test=0.891) 1.45min
[fit 67/150] END max_depth=66; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.567) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.901) 1.51min
[fit 68/150] END max_depth=67; total=3192, TP=68, TN=3010, FP=30, FN=84; precision=0.694, recall=0.447
accuracy: (test=0.964) average_precision: (test=0.574) balanced_accuracy: (test=0.719) f1: (test=0.544) roc_auc: (test=0.892) 1.48min
